name,role,Batting Style,Bowling Style,team,bat_matches,bat_innings,bat_runs,bat_balls,bat_highest,bat_average,bat_sr,bat_not_out,bat_fours,bat_sixes,bat_ducks,bat_50s,bat_100s,bat_200s,bat_300s,bat_400s,bowl_matches,bowl_innings,bowl_balls,bowl_runs,bowl_maidens,bowl_wickets,bowl_avg,bowl_eco,bowl_sr,bowl_bbi,bowl_bbm,bowl_4w,bowl_5w,bowl_10w,player_image_filename
Ruturaj Gaikwad,Batsman,Right Handed Bat,Right-arm offbreak,Chennai Super Kings,77,76,2584,1893,108,38,136.51,8,239,96,7,20,2,0,0,0,77,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,chennai-super-kings__ruturaj-gaikwad.jpg
Dewald Brevis,Batsman,Right Handed Bat,Right-arm legbreak,Chennai Super Kings,19,18,496,330,57,27.56,150.31,0,34,35,3,2,0,0,0,0,19,1,3,8,0,1,8.0,0,3.0,1/8,1/8,0,0,0,chennai-super-kings__dewald-brevis.jpg
Ayush Mhatre,Batsman,Right Handed Bat,Right-arm offbreak,Chennai Super Kings,13,13,441,240,94,33.92,183.75,0,51,23,2,3,0,0,0,0,13,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,chennai-super-kings__ayush-mhatre.jpg
Matthew Short,Batsman,Right Handed Bat,Right-arm offbreak,Chennai Super Kings,8,8,153,129,36,19.13,118.61,0,18,4,0,0,0,0,0,0,8,5,43,64,0,0,0.0,8.93,0.0,0/1,0/1,0,0,0,chennai-super-kings__matthew-short.jpg
Sarfaraz Khan,Batsman,Right Handed Bat,Right-arm legbreak,Chennai Super Kings,56,42,732,534,67,23.61,137.08,11,83,20,3,2,0,0,0,0,56,1,2,6,0,0,0.0,0,0.0,0/6,0/6,0,0,0,chennai-super-kings__sarfaraz-khan.jpg
Shivam Dube,Batting Allrounder,Left Handed Bat,Right-arm medium,Chennai Super Kings,85,81,1982,1376,95,30.97,144.05,17,119,127,3,10,0,0,0,0,85,16,136,243,0,6,40.5,10.72,22.67,2/15,2/15,0,0,0,chennai-super-kings__shivam-dube.jpg
Ramakrishna Ghosh,Batting Allrounder,Right Handed Bat,Right-arm fast-medium,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chennai-super-kings__ramakrishna-ghosh.jpg
Jamie Overton,Bowling Allrounder,Right Handed Bat,Right-arm fast,Chennai Super Kings,8,6,118,80,43,39.33,147.50,3,9,5,0,0,0,0,0,0,8,8,126,226,0,8,28.25,10.76,15.75,4/18,4/18,1,0,0,chennai-super-kings__jamie-overton.jpg
Anshul Kamboj,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Chennai Super Kings,17,9,55,44,19,27.5,125.00,7,4,2,1,0,0,0,0,0,17,17,319,497,0,23,21.61,9.35,13.87,3/13,3/13,0,0,0,chennai-super-kings__anshul-kamboj.jpg
Prashant Veer,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,Chennai Super Kings,2,2,49,36,43,49,136.12,1,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,chennai-super-kings__prashant-veer.jpg
Zakary Foulkes,Bowling Allrounder,Right Handed Bat,Right-arm medium,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,chennai-super-kings__zakary-foulkes.jpg
Aman Khan,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,Chennai Super Kings,12,10,115,104,51,12.78,110.58,1,8,6,1,1,0,0,0,0,12,1,6,13,0,0,0.0,13,0.0,0/13,0/13,0,0,0,chennai-super-kings__aman-khan.jpg
MS Dhoni,WK-Batsman,Right Handed Bat,Right-arm medium,Chennai Super Kings,278,242,5439,3957,84,38.3,137.46,100,375,264,6,24,0,0,0,0,278,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,chennai-super-kings__ms-dhoni.jpg
Urvil Patel,WK-Batsman,Right Handed Bat,,Chennai Super Kings,3,3,68,32,37,22.67,212.50,0,5,6,1,0,0,0,0,0,3,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,chennai-super-kings__urvil-patel.jpg
Sanju Samson,WK-Batsman,Right Handed Bat,,Chennai Super Kings,182,178,4896,3493,119,30.99,140.17,20,400,228,11,26,4,0,0,0,182,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,chennai-super-kings__sanju-samson.jpg
Kartik Sharma,WK-Batsman,Right Handed Bat,,Chennai Super Kings,3,3,25,21,18,8.33,119.05,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0,chennai-super-kings__kartik-sharma.jpg
Shreyas Gopal,Bowler,Right Handed Bat,Right-arm legbreak,Chennai Super Kings,52,22,180,169,24,12.86,106.51,8,19,2,4,0,0,0,0,0,52,51,991,1348,1,52,25.92,8.16,19.06,4/16,4/16,1,0,0,chennai-super-kings__shreyas-gopal.jpg
Gurjapneet Singh,Bowler,Right Handed Bat,Left-arm fast-medium,Chennai Super Kings,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,55,96,0,2,48.0,10.47,27.5,1/34,1/34,0,0,0,chennai-super-kings__gurjapneet-singh.jpg
Mukesh Choudhary,Bowler,Left Handed Bat,Left-arm fast-medium,Chennai Super Kings,17,2,6,6,4,6,100.00,1,1,0,0,0,0,0,0,0,17,17,327,543,0,19,28.58,9.96,17.21,4/46,4/46,1,0,0,chennai-super-kings__mukesh-choudhary.jpg
Noor Ahmad,Bowler,Right Handed Bat,Left-arm wrist-spin,Chennai Super Kings,43,16,30,53,8,3,56.61,6,2,1,2,0,0,0,0,0,43,43,918,1268,0,52,24.38,8.29,17.65,4/18,4/18,2,0,0,chennai-super-kings__noor-ahmad.jpg
Akeal Hosein,Bowler,Left Handed Bat,Left-arm orthodox,Chennai Super Kings,3,1,16,10,16,0,160.00,1,1,1,0,0,0,0,0,0,3,3,60,86,0,2,43.0,8.6,30.0,1/26,1/26,0,0,0,chennai-super-kings__akeal-hosein.jpg
Matt Henry,Bowler,Right Handed Bat,Right-arm fast-medium,Chennai Super Kings,9,2,7,10,5,3.5,70.00,0,1,0,0,0,0,0,0,0,9,9,162,311,0,4,77.75,11.52,40.5,2/54,2/54,0,0,0,chennai-super-kings__matt-henry.jpg
Rahul Chahar,Bowler,Right Handed Bat,Right-arm legbreak,Chennai Super Kings,80,24,129,124,25,8.06,104.04,8,13,5,8,0,0,0,0,0,80,79,1694,2196,1,75,29.28,7.78,22.59,4/27,4/27,1,0,0,chennai-super-kings__rahul-chahar.jpg
Spencer Johnson,Bowler,Left Handed Bat,Left-arm fast,Chennai Super Kings,9,5,8,11,5,0,72.73,5,1,0,0,0,0,0,0,0,9,9,164,284,0,5,56.8,10.39,32.8,2/25,2/25,0,0,0,chennai-super-kings__spencer-johnson.jpg
